Adox CHS 100,Atomal 49 (stock),8,480,20C
Adox CHS 100 II,Atomal 49 (stock),6.5,390,20C
Adox CHS 25,Atomal 49 (stock),4,240,20C
Adox CHS 50,Atomal 49 (stock),6,360,20C
Adox Silvermax (ISO 100),Atomal 49 (stock),9,540,20C
APX 100,Atomal 49 (stock),5.75,345,20C
APX 400,Atomal 49 (stock),9,540,20C
Arista EDU Ultra 100,Atomal 49 (stock),7,420,20C
Arista EDU Ultra 200,Atomal 49 (stock),9,540,20C
Arista EDU Ultra 400,Atomal 49 (stock),9,540,20C
Arista II 100,Atomal 49 (stock),5.75,345,20C
Arista II 400,Atomal 49 (stock),9,540,20C
Delta 100 Pro,Atomal 49 (stock),6.25,375,20C
Delta 3200 Pro,Atomal 49 (stock),17,1020,20C
Efke 100,Atomal 49 (stock),8,480,20C
Efke 25,Atomal 49 (stock),4,240,20C
Efke 50,Atomal 49 (stock),6,360,20C
Fomapan 100,Atomal 49 (stock),7,420,20C
Fomapan 200,Atomal 49 (stock),9,540,20C
Fomapan 400,Atomal 49 (stock),9,540,20C
Fortepan 100,Atomal 49 (stock),5.5,330,20C
Fortepan 200,Atomal 49 (stock),5.5,330,20C
Fortepan 400,Atomal 49 (stock),8,480,20C
FP4+,Atomal 49 (stock),8,480,20C
HP5+,Atomal 49 (stock),7.5,450,20C
Maco UP100p/PO100c,Atomal 49 (stock),8,480,20C
Maco UP400p,Atomal 49 (stock),10,600,22C
Neopan 100 Acros,Atomal 49 (stock),7.25,435,20C
Neopan 1600,Atomal 49 (stock),9,540,20C
Pan F+,Atomal 49 (stock),7.5,450,20C
Polypan F,Atomal 49 (stock),8.5,510,20C
Rollei Infrared (ISO 400),Atomal 49 (stock),9,540,20C
Rollei Retro 100,Atomal 49 (stock),5.75,345,20C
Rollei Retro 400,Atomal 49 (stock),9,540,20C
TMax 100,Atomal 49 (stock),8,480,20C
TMax 400,Atomal 49 (stock),11,660,20C
TMax P3200,Atomal 49 (stock),11,660,20C
Tri-X 400,Atomal 49 (stock),8,480,22C
Adox CHS 25,Beutler (1+1+10),7.5,450,20C
Adox CHS 50,Beutler (1+1+10),8.5,510,20C
Efke 25,Beutler (1+1+10),7.5,450,20C
Efke 50,Beutler (1+1+10),8.5,510,20C
Neopan 100ss,Beutler (1+1+10),9,540,20C
Orwo UN54+,Beutler (1+1+10),7,420,20C
Rollei RPX 100,Beutler (1+1+10),5,300,20C
Fomapan 100,Beutler (1+1+8),10,600,20C
FP4+,Beutler (1+1+8),6.75,405,20C
Rollei Ortho 25,Beutler (1+1+8),7,420,20C
Rollei Retro 100,Beutler (1+1+8),7.5,450,20C
SHD 100,Beutler (1+1+8),12,720,18C
Arista EDU Ultra 100,Beutler-Pyro (10+10+978+2),10,600,22C
Arista EDU Ultra 400,Beutler-Pyro (10+10+978+2),12,720,22C
Fomapan 100,Beutler-Pyro (10+10+978+2),10,600,22C
Fomapan 400,Beutler-Pyro (10+10+978+2),12,720,22C
Bluefire Police (ISO 80),Bluefire HR (stock),15,900,20C
Rollei Superpan 200,Burton 195 (1+1),75,4500,20C
Rollei Retro 80S,Burton 195 (stock),60,3600,20C
Fomapan 200,BW-TNEG (1+6),6,360,20C
TMax 100,BW-TNEG (1+6),5.5,330,20C
TMax 400,BW-TNEG (1+6),6,360,20C
Efke 25,Caffenol (stock),11,660,20C
TMax 400,Caffenol (stock),25,1500,20C
Tri-X 400,Caffenol (stock),35,2100,20C
TMax 100,Caffenol C (1+1),12.5,750,20C
Tri-X 400,Caffenol C (1+1),12.5,750,20C
APX 100,Caffenol C (stock),20,1200,20C
APX 400,Caffenol C (stock),10,600,20C
Arista II 100,Caffenol C (stock),20,1200,20C
Delta 100 Pro,Caffenol C (stock),40,2400,25C
ERA 100,Caffenol C (stock),13,780,20C
Fomapan 100,Caffenol C (stock),17,1020,20C
Fomapan 200,Caffenol C (stock),25,1500,20C
FP4+,Caffenol C (stock),12,720,20C
Kentmere 100,Caffenol C (stock),10,600,18C
Neopan 1600,Caffenol C (stock),15,900,21C
Polypan F,Caffenol C (stock),11,660,20C
Rollei Retro 100,Caffenol C (stock),20,1200,20C
Adox CMS 20,Caffenol LC+C (stock),15,900,20C
HP5+,Caffenol-C-L (stock),30,1800,21C
Polypan F,Caffenol-C-L (stock),11,660,22C
TMax 400,Caffenol-C-L (stock),30,1800,21C
Fomapan 400,Caffenol-C-M (+i) (stock),15,900,20C
Tri-X 400,Caffenol-C-M (+i) (stock),15,900,20C
Neopan 400,Caffenol-C-M (stock),12,720,20C
Rollei Retro 100,Caffenol-C-M (stock),15,900,20C
Ultrafine Xtreme 400,Caffenol-C-M (stock),20,1200,20C
Arista EDU Ultra 100,Calbe F19 (stock),8,480,20C
Arista EDU Ultra 200,Calbe F19 (stock),8,480,20C
Arista EDU Ultra 400,Calbe F19 (stock),8,480,20C
Fomapan 100,Calbe F19 (stock),8,480,20C
Fomapan 200,Calbe F19 (stock),8,480,20C
Fomapan 400,Calbe F19 (stock),8,480,20C
Delta 100 Pro,D-19 (1+1),6,360,20C
Pan F+,D-19 (1+1),5.5,330,20C
SFX 200,D-19 (1+1),9,540,20C
Fortepan 400,D-19 (stock),6,360,20C
Adox CHM 400,D-23 (1+1),13,780,20C
Arista EDU Ultra 100,D-23 (1+1),18.5,1110,20C
Arista Premium 400,D-23 (1+1),13,780,20C
Delta 100 Pro,D-23 (1+1),10,600,20C
Delta 400 Pro,D-23 (1+1),10.5,630,20C
HP5+,D-23 (1+1),13,780,20C
Lady Grey,D-23 (1+1),10,600,20C
Maco UP400p,D-23 (1+1),12,720,24C
Pan F+,D-23 (1+1),8.5,510,20C
Rollei Retro 80S,D-23 (1+1),13,780,20C
TMax 100,D-23 (1+1),14,840,20C
TMax 400,D-23 (1+1),12,720,20C
TMax P3200,D-23 (1+1),16,960,20C
Tri-X 400,D-23 (1+1),13,780,20C
ERA 100,D-23 (1+2),21,1260,20C
Adox CHM 400,D-23 (1+3),20,1200,20C
Arista Premium 400,D-23 (1+3),20,1200,20C
BPF/BRF 200,D-23 (1+3),18,1080,20C
Delta 100 Pro,D-23 (1+3),15.5,930,20C
Delta 400 Pro,D-23 (1+3),16.5,990,20C
HP5+,D-23 (1+3),20,1200,20C
Pan F+,D-23 (1+3),15,900,20C
TMax 100,D-23 (1+3),21,1260,20C
TMax 400,D-23 (1+3),20,1200,20C
Tri-X 400,D-23 (1+3),20,1200,20C
Adox CHM 400,D-23 (stock),7.5,450,20C
APX 100,D-23 (stock),11,660,20C
